nome,tipo,esfera,endereco,bairro,cep,telefone,longitude,latitude,distrito
AMA/UBS PARQUE BRISTOL,Unidade Básica de Saúde,Municipal,"R. FRANCOIS BUNEL, 194",PARQUE BRISTOL,04193-310,2331-3089,-46.610337,-23.64922402,Sacomã
AMA/UBS PARQUE FERNANDA,Unidade Básica de Saúde,Municipal,"R. ERNESTO SOARES FILHO, 301",PARQUE FERNANDA,05888-070,5822-6100,-46.792143,-23.67586602,Capão Redondo
AMA/UBS PARQUE SANTO ANTONIO,Unidade Básica de Saúde,Municipal,"R. MANUEL BORDALO PINHEIRO, 100",PARQUE SANTO ANTONIO,05850-230,5511-4249,-46.755887,-23.65719802,Jardim São Luís
AMA/UBS PAULO VI,Unidade Básica de Saúde,Municipal,"AV. VATICANO, 69",JARDIM JOÃO XXIII,05569-120,3782-0838,-46.795247,-23.60189002,Raposo Tavares
AMA/UBS PERUS,Unidade Básica de Saúde,Municipal,"PRAÇA VIGARIO JOÃO GONÇALVES DE LIMA, 239",PERUS,05208-260,3978-7588,-46.757242,-23.40954602,Perus
AMA/UBS SÃO VICENTE DE PAULA,Unidade Básica de Saúde,Municipal,"R. VICENTE DA COSTA, 289",IPIRANGA,04266-050,2273-4592,-46.608997,-23.59093702,Ipiranga
AMA/UBS SÍTIO DA CASA PINTADA,Unidade Básica de Saúde,Municipal,"AV. MARIA SANTANA, 1069",JARDIM CASA PINTADA,08050-130,2053-0800,-46.446568,-23.51004601,Vila Jacuí
AMA/UBS VILA ANTONIETA,Unidade Básica de Saúde,Municipal,"R. CORONEL JOÃO DE OLIVEIRA MELO, 440",VILA ANTONIETA,03474-020,2725-3997,-46.51582,-23.57337602,Aricanduva
AMA/UBS VILA BARBOSA,Unidade Básica de Saúde,Municipal,"AV. MANDAQUI, 197",LIMÃO,02550-000,3966-1302 / 3951-6457,-46.670864,-23.50532801,Limão
AMA/UBS VILA CALIFORNIA - ZEILIVAL BRUSCAGIN,Unidade Básica de Saúde,Municipal,"PRAÇA CONDE DE SÃO JANUÁRIO, 91",VILA CALIFORNIA,03215-080,2917-1117,-46.555188,-23.60516502,Vila Prudente
AMA/UBS VILA CLARA,Unidade Básica de Saúde,Municipal,"R. ROLANDO CURTI, 701",VL CLARA,04414-000,5623-6883 / 5626-9979,-46.637515,-23.67235102,Jabaquara
AMA/UBS VILA IMPÉRIO,Unidade Básica de Saúde,Municipal,"R. CATARINA GABRIELLI, 236",AMERICANÓPOLIS,04408-090,5624-6554,-46.649436,-23.67292301,Cidade Ademar
